id,espacio,luz,tiempo_semanal,experiencia,preferencia_tipo,mascotas,bajo_mantenimiento,pref_maceta,riego_auto,presupuesto,clima,label_planta,label_maceta
1,balcón,baja,mucho,intermedio,suculenta,si,no,colgante,no,bajo,frio,Helecho Nephrolepis,Maceta Colgante Eco
2,exterior,alta,poco,principiante,verde,si,no,colgante,si,medio,tropical,Helecho de Boston,Maceta Colgante Eco
3,balcón,baja,moderado,principiante,colgante,si,si,colgante,no,alto,frio,Petunia,Maceta Colgante Eco
4,interior,media,poco,intermedio,colgante,no,no,colgante,no,bajo,templado,Sansevieria (Lengua de suegra),Maceta Mini Eco
5,terraza,alta,poco,intermedio,decorativa,no,si,mini,si,alto,templado,Orquídea Phalaenopsis,Maceta Expandible Eco
6,terraza,baja,poco,principiante,suculenta,no,si,colgante,no,bajo,templado,Suculenta,Maceta Mini Eco
7,balcón,media,poco,principiante,aromatica,si,no,expandible,si,bajo,templado,Zamioculca,Maceta Mini Eco
8,exterior,baja,poco,avanzado,colgante,si,no,colgante,si,bajo,tropical,Albahaca,Maceta Mini Eco
9,terraza,media,mucho,avanzado,decorativa,si,si,colgante,si,bajo,calido,Cactus,Maceta Mini Eco
10,balcón,alta,poco,principiante,frutal,si,si,colgante,si,alto,frio,Lavanda,Maceta Expandible Eco
11,exterior,alta,mucho,avanzado,colgante,si,no,colgante,si,alto,tropical,Peperomia,Maceta Mini Eco
12,exterior,alta,poco,principiante,frutal,si,no,expandible,no,bajo,frio,Girasol,Maceta Expandible Eco
13,exterior,baja,poco,principiante,frutal,si,si,mini,no,bajo,frio,Menta,Maceta Mini Eco
14,balcón,alta,poco,intermedio,decorativa,no,no,colgante,si,medio,calido,Begonia,Maceta Colgante Eco
15,terraza,media,poco,avanzado,frutal,no,no,expandible,si,bajo,templado,Cactus,Maceta Mini Eco
16,exterior,media,mucho,avanzado,colgante,si,si,mini,si,bajo,templado,Aloe Vera,Maceta Mini Eco
17,balcón,alta,mucho,avanzado,decorativa,si,si,colgante,si,bajo,tropical,Cactus,Maceta Mini Eco
18,terraza,baja,mucho,principiante,verde,si,no,mini,no,alto,tropical,Hiedra Inglesa,Maceta Colgante Eco
19,exterior,media,moderado,principiante,decorativa,si,si,mini,si,medio,templado,Helecho de Boston,Maceta Colgante Eco
20,terraza,media,mucho,intermedio,aromatica,si,si,expandible,no,alto,tropical,Aloe Vera,Maceta Mini Eco
21,interior,baja,moderado,principiante,frutal,no,si,mini,si,medio,tropical,Cactus,Maceta Mini Eco
22,balcón,alta,mucho,intermedio,verde,si,si,mini,no,bajo,calido,Albahaca,Maceta Mini Eco
23,interior,media,poco,intermedio,frutal,no,si,colgante,si,bajo,tropical,Begonia,Maceta Colgante Eco
24,balcón,media,moderado,intermedio,suculenta,no,si,expandible,no,bajo,templado,Aloe Vera,Maceta Mini Eco
25,exterior,media,moderado,avanzado,suculenta,si,si,expandible,no,alto,tropical,Rosal,Maceta Expandible Eco
26,balcón,baja,poco,principiante,colgante,no,si,expandible,si,bajo,calido,Peperomia,Maceta Mini Eco
27,exterior,media,poco,intermedio,verde,no,no,colgante,si,medio,templado,Begonia,Maceta Colgante Eco
28,terraza,media,mucho,principiante,frutal,si,no,colgante,no,bajo,calido,Helecho de Boston,Maceta Colgante Eco
29,exterior,alta,poco,intermedio,flores,no,si,expandible,no,bajo,calido,Zamioculca,Maceta Mini Eco
30,balcón,alta,poco,principiante,aromatica,si,no,mini,no,bajo,templado,Albahaca,Maceta Mini Eco
31,interior,alta,moderado,intermedio,aromatica,si,no,mini,si,medio,templado,Begonia,Maceta Colgante Eco
32,exterior,media,moderado,intermedio,aromatica,si,no,expandible,si,medio,calido,Rosal,Maceta Expandible Eco
33,exterior,media,moderado,intermedio,suculenta,si,no,expandible,no,medio,frio,Albahaca,Maceta Mini Eco
34,balcón,baja,poco,avanzado,aromatica,no,si,colgante,no,medio,frio,Zamioculca,Maceta Mini Eco
35,interior,baja,poco,principiante,colgante,si,si,colgante,no,bajo,tropical,Menta,Maceta Mini Eco
36,interior,baja,mucho,principiante,verde,no,si,expandible,si,bajo,tropical,Helecho de Boston,Maceta Colgante Eco
37,terraza,alta,mucho,principiante,colgante,si,si,mini,si,alto,calido,Calathea,Maceta Expandible Eco
38,interior,baja,poco,avanzado,flores,no,no,expandible,no,medio,calido,Rosal,Maceta Expandible Eco
39,terraza,alta,mucho,principiante,flores,si,si,mini,si,alto,frio,Areca Palm,Maceta Expandible Eco
40,balcón,alta,mucho,intermedio,flores,si,si,mini,si,medio,templado,Hierbabuena,Maceta Mini Eco
41,exterior,baja,moderado,intermedio,verde,no,no,colgante,si,alto,frio,Anturio,Maceta Expandible Eco
42,balcón,baja,moderado,intermedio,aromatica,no,si,mini,si,bajo,tropical,Cactus,Maceta Mini Eco
43,terraza,alta,moderado,avanzado,frutal,no,si,mini,no,bajo,templado,Peperomia,Maceta Mini Eco
44,exterior,media,moderado,intermedio,frutal,si,si,mini,si,alto,calido,Lavanda,Maceta Expandible Eco
45,interior,baja,moderado,avanzado,decorativa,no,si,colgante,no,medio,calido,Helecho de Boston,Maceta Colgante Eco
46,interior,baja,mucho,intermedio,colgante,si,no,colgante,si,alto,templado,Cactus,Maceta Mini Eco
47,interior,baja,poco,avanzado,frutal,no,no,colgante,no,alto,calido,Petunia,Maceta Colgante Eco
48,balcón,media,mucho,intermedio,colgante,si,si,mini,no,bajo,tropical,Zamioculca,Maceta Mini Eco
49,balcón,media,moderado,avanzado,colgante,no,no,colgante,si,bajo,templado,Begonia,Maceta Colgante Eco
50,exterior,media,mucho,principiante,aromatica,no,no,colgante,no,medio,calido,Orquídea Phalaenopsis,Maceta Expandible Eco
51,balcón,media,mucho,avanzado,suculenta,no,no,colgante,no,alto,templado,Hiedra Inglesa,Maceta Colgante Eco
52,terraza,alta,moderado,avanzado,aromatica,no,si,mini,si,bajo,tropical,Rosal,Maceta Expandible Eco
53,terraza,baja,moderado,avanzado,flores,no,si,colgante,no,bajo,templado,Albahaca,Maceta Mini Eco
54,interior,media,mucho,avanzado,frutal,no,si,mini,si,alto,templado,Geranio,Maceta Expandible Eco
55,terraza,media,moderado,avanzado,aromatica,no,no,mini,no,medio,tropical,Peperomia,Maceta Mini Eco
56,terraza,baja,mucho,intermedio,flores,no,si,expandible,no,medio,calido,Ficus Lyrata,Maceta Expandible Eco
57,interior,baja,mucho,intermedio,frutal,si,si,mini,no,bajo,templado,Albahaca,Maceta Mini Eco
